time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH,label,add_label,condition
3873,38,27,118,90,23,43,air,1afterbeer,roomlect
4102,38,26,119,90,23,43,air,1afterbeer,roomlect
4336,38,26,118,89,23,43,air,1afterbeer,roomlect
4571,37,27,119,90,23,43,air,1afterbeer,roomlect
4795,38,27,118,89,23,43,air,1afterbeer,roomlect
5028,38,26,117,90,23,43,air,1afterbeer,roomlect
5261,38,26,118,90,23,43,air,1afterbeer,roomlect
5491,38,26,118,90,23,43,air,1afterbeer,roomlect
5720,37,26,118,90,23,43,air,1afterbeer,roomlect
5954,38,26,118,90,23,43,air,1afterbeer,roomlect
6187,38,27,118,90,23,43,air,1afterbeer,roomlect
6417,37,26,118,90,23,43,air,1afterbeer,roomlect
6646,38,27,118,90,23,43,air,1afterbeer,roomlect
6879,37,27,116,90,23,43,air,1afterbeer,roomlect
7109,38,27,117,90,23,43,air,1afterbeer,roomlect
7342,38,27,117,90,23,43,air,1afterbeer,roomlect
7572,38,26,117,89,23,43,air,1afterbeer,roomlect
7805,38,27,117,90,23,43,air,1afterbeer,roomlect
8035,38,26,118,90,23,43,air,1afterbeer,roomlect
8264,37,27,117,90,23,43,air,1afterbeer,roomlect
8498,38,27,118,89,23,43,air,1afterbeer,roomlect
8730,38,27,117,89,23,43,air,1afterbeer,roomlect
8960,37,27,117,90,23,43,air,1afterbeer,roomlect
9189,37,27,117,89,23,43,air,1afterbeer,roomlect
9423,37,26,117,90,23,43,air,1afterbeer,roomlect
9656,36,27,117,90,23,43,air,1afterbeer,roomlect
9886,37,27,116,89,23,43,air,1afterbeer,roomlect
10115,37,26,117,89,23,43,air,1afterbeer,roomlect
10348,37,27,116,90,23,43,air,1afterbeer,roomlect
10580,37,27,117,90,23,43,air,1afterbeer,roomlect
10811,37,27,117,90,23,43,air,1afterbeer,roomlect
11041,38,27,116,89,23,43,air,1afterbeer,roomlect
11274,38,26,117,89,23,43,air,1afterbeer,roomlect
11507,37,26,117,89,23,43,air,1afterbeer,roomlect
11733,37,26,117,90,23,43,air,1afterbeer,roomlect
11970,37,27,117,90,23,43,air,1afterbeer,roomlect
12200,37,27,116,90,23,43,air,1afterbeer,roomlect
12429,37,26,117,90,23,43,air,1afterbeer,roomlect
12658,37,27,116,89,23,43,air,1afterbeer,roomlect
12892,37,26,116,89,23,43,air,1afterbeer,roomlect
13125,37,26,117,90,23,43,air,1afterbeer,roomlect
13355,37,27,116,90,23,43,air,1afterbeer,roomlect
13584,37,27,116,89,23,43,air,1afterbeer,roomlect
13817,37,27,116,90,23,43,air,1afterbeer,roomlect
14050,37,26,116,90,23,43,air,1afterbeer,roomlect
14280,37,26,116,90,23,43,air,1afterbeer,roomlect
14514,37,26,116,90,23,43,air,1afterbeer,roomlect
14743,37,26,116,90,23,43,air,1afterbeer,roomlect
14972,37,26,116,89,23,43,air,1afterbeer,roomlect
15202,37,26,116,89,23,43,air,1afterbeer,roomlect
15439,37,27,115,90,23,42,air,1afterbeer,roomlect
15669,37,27,116,90,23,42,air,1afterbeer,roomlect
15898,36,26,116,90,23,42,air,1afterbeer,roomlect
16131,37,26,116,89,23,42,air,1afterbeer,roomlect
16361,37,26,115,90,23,42,air,1afterbeer,roomlect
16594,37,26,116,90,23,42,air,1afterbeer,roomlect
16824,37,26,116,90,23,42,air,1afterbeer,roomlect
17057,37,26,115,90,23,42,air,1afterbeer,roomlect
17286,37,26,116,89,23,42,air,1afterbeer,roomlect
17516,37,27,116,90,23,42,air,1afterbeer,roomlect
17749,36,26,116,90,23,42,air,1afterbeer,roomlect
17983,37,27,116,90,23,42,air,1afterbeer,roomlect
18212,37,27,116,90,23,42,air,1afterbeer,roomlect
18441,36,26,115,89,23,42,air,1afterbeer,roomlect
18671,36,26,115,90,23,42,air,1afterbeer,roomlect
18908,36,27,115,90,23,42,air,1afterbeer,roomlect
19138,36,26,115,90,23,42,air,1afterbeer,roomlect
19367,37,26,115,91,23,42,air,1afterbeer,roomlect
19601,37,26,115,90,23,42,air,1afterbeer,roomlect
19830,37,26,115,90,23,42,air,1afterbeer,roomlect
20063,37,26,114,90,23,42,air,1afterbeer,roomlect
20293,37,26,115,90,23,42,air,1afterbeer,roomlect
20527,36,27,114,90,23,42,air,1afterbeer,roomlect
20755,37,26,115,90,23,42,air,1afterbeer,roomlect
20985,37,26,115,91,23,42,air,1afterbeer,roomlect
21218,36,26,114,90,23,42,air,1afterbeer,roomlect
21456,37,26,115,91,23,42,air,1afterbeer,roomlect
21681,37,26,114,91,23,42,air,1afterbeer,roomlect
21911,37,27,115,91,23,42,air,1afterbeer,roomlect
22144,37,26,115,90,23,42,air,1afterbeer,roomlect
22377,37,26,115,91,23,42,air,1afterbeer,roomlect
22608,36,27,115,91,23,42,air,1afterbeer,roomlect
22836,36,26,115,91,23,42,air,1afterbeer,roomlect
23069,37,26,115,91,23,42,air,1afterbeer,roomlect
23299,37,27,114,91,23,42,air,1afterbeer,roomlect
23532,36,26,115,91,23,42,air,1afterbeer,roomlect
23762,36,26,115,92,23,42,air,1afterbeer,roomlect
23995,36,25,114,91,23,42,air,1afterbeer,roomlect
24225,37,26,115,91,23,42,air,1afterbeer,roomlect
24454,37,27,114,91,23,42,air,1afterbeer,roomlect
24688,36,26,114,91,23,42,air,1afterbeer,roomlect
24921,36,26,114,91,23,42,air,1afterbeer,roomlect
25150,36,26,114,92,23,42,air,1afterbeer,roomlect
25380,36,26,114,92,23,42,air,1afterbeer,roomlect
25613,37,26,114,91,23,42,air,1afterbeer,roomlect
25848,37,26,114,92,23,42,air,1afterbeer,roomlect
26076,37,26,114,92,23,42,air,1afterbeer,roomlect
26305,37,26,114,92,23,42,air,1afterbeer,roomlect
26538,37,26,113,92,23,42,air,1afterbeer,roomlect
26770,36,26,114,92,23,42,air,1afterbeer,roomlect
27002,37,26,114,92,23,42,air,1afterbeer,roomlect
27231,37,26,114,92,23,42,air,1afterbeer,roomlect
27464,37,26,113,92,23,42,air,1afterbeer,roomlect
27693,36,26,114,93,23,42,air,1afterbeer,roomlect
27923,36,26,114,92,23,42,air,1afterbeer,roomlect
28157,36,26,114,92,23,42,air,1afterbeer,roomlect
28390,36,26,114,92,23,42,air,1afterbeer,roomlect
28619,37,26,114,92,23,42,air,1afterbeer,roomlect
28849,37,26,114,92,23,42,air,1afterbeer,roomlect
29082,37,26,113,92,23,42,air,1afterbeer,roomlect
29315,37,27,114,92,23,42,air,1afterbeer,roomlect
29545,36,26,114,92,23,42,air,1afterbeer,roomlect
29774,37,26,114,93,23,42,air,1afterbeer,roomlect
30008,37,26,114,92,23,42,air,1afterbeer,roomlect
30237,37,26,114,92,23,42,air,1afterbeer,roomlect
30470,37,25,113,92,23,42,air,1afterbeer,roomlect
30700,36,26,114,92,23,42,air,1afterbeer,roomlect
30933,36,26,114,92,23,42,air,1afterbeer,roomlect
31163,36,26,113,92,23,42,air,1afterbeer,roomlect
31392,36,26,114,93,23,42,air,1afterbeer,roomlect
31626,37,26,113,93,23,42,air,1afterbeer,roomlect
31859,36,25,113,92,23,42,air,1afterbeer,roomlect
32088,37,26,114,92,23,42,air,1afterbeer,roomlect
32318,36,26,113,93,23,42,air,1afterbeer,roomlect
32551,36,25,113,93,23,42,air,1afterbeer,roomlect
32785,37,26,113,92,23,42,air,1afterbeer,roomlect
33014,36,26,113,93,23,42,air,1afterbeer,roomlect
33243,37,26,113,92,23,42,air,1afterbeer,roomlect
33477,36,26,113,92,23,42,air,1afterbeer,roomlect
33706,36,26,113,93,23,42,air,1afterbeer,roomlect
33940,36,25,113,93,23,42,air,1afterbeer,roomlect
34169,36,26,112,92,23,42,air,1afterbeer,roomlect
34402,37,26,113,93,23,42,air,1afterbeer,roomlect
34632,37,26,113,92,23,42,air,1afterbeer,roomlect
34861,36,26,113,93,23,42,air,1afterbeer,roomlect
35095,36,26,113,92,23,42,air,1afterbeer,roomlect
35328,37,26,112,92,23,42,air,1afterbeer,roomlect
35557,36,26,113,92,23,42,air,1afterbeer,roomlect
35787,37,26,113,92,23,42,air,1afterbeer,roomlect
36020,36,26,113,92,23,42,air,1afterbeer,roomlect
36254,36,26,113,92,23,42,air,1afterbeer,roomlect
36483,37,26,113,93,23,42,air,1afterbeer,roomlect
36716,36,26,113,92,23,42,air,1afterbeer,roomlect
36946,37,26,112,92,23,42,air,1afterbeer,roomlect
37175,36,26,112,92,23,42,air,1afterbeer,roomlect
37409,36,26,112,92,23,42,air,1afterbeer,roomlect
37638,36,26,112,92,23,42,air,1afterbeer,roomlect
37871,36,26,112,92,23,42,air,1afterbeer,roomlect
38101,36,26,112,92,23,42,air,1afterbeer,roomlect
38330,37,25,112,93,23,42,air,1afterbeer,roomlect
38567,36,26,113,92,23,42,air,1afterbeer,roomlect
38797,36,26,112,92,23,42,air,1afterbeer,roomlect
39026,36,26,112,92,23,42,air,1afterbeer,roomlect
39256,36,26,112,91,23,42,air,1afterbeer,roomlect
39489,36,26,111,91,23,42,air,1afterbeer,roomlect
39723,36,26,112,92,23,42,air,1afterbeer,roomlect
39952,36,25,113,92,23,42,air,1afterbeer,roomlect
40184,36,26,112,92,23,42,air,1afterbeer,roomlect
40415,36,26,112,92,23,42,air,1afterbeer,roomlect
40644,36,26,112,92,23,42,air,1afterbeer,roomlect
40878,36,26,112,93,23,42,air,1afterbeer,roomlect
41111,36,26,112,92,23,42,air,1afterbeer,roomlect
41340,36,26,112,92,23,42,air,1afterbeer,roomlect
41570,36,26,111,92,23,42,air,1afterbeer,roomlect
41799,36,25,112,92,23,42,air,1afterbeer,roomlect
42038,36,26,112,91,23,42,air,1afterbeer,roomlect
42270,36,26,112,91,23,42,air,1afterbeer,roomlect
42495,36,26,112,92,23,42,air,1afterbeer,roomlect
42725,36,26,112,92,23,42,air,1afterbeer,roomlect
42958,35,26,112,91,23,42,air,1afterbeer,roomlect
43192,36,26,111,91,23,42,air,1afterbeer,roomlect
43421,36,26,111,91,23,42,air,1afterbeer,roomlect
