time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH,label,add_label,condition
68,92,52,200,244,23,52,beer,1pilsner,roomjose
70,91,53,199,242,23,52,beer,1pilsner,roomjose
1561,90,51,197,218,23,52,beer,1pilsner,roomjose
1790,90,52,198,215,23,52,beer,1pilsner,roomjose
2025,90,52,198,213,23,52,beer,1pilsner,roomjose
2253,90,52,197,211,23,52,beer,1pilsner,roomjose
2482,89,52,198,211,23,52,beer,1pilsner,roomjose
2716,89,52,197,209,23,52,beer,1pilsner,roomjose
2949,89,52,197,207,23,52,beer,1pilsner,roomjose
3179,89,52,198,205,23,52,beer,1pilsner,roomjose
3408,89,52,197,203,23,52,beer,1pilsner,roomjose
3641,88,52,197,202,23,52,beer,1pilsner,roomjose
3875,89,52,197,198,23,53,beer,1pilsner,roomjose
4104,88,51,197,195,23,53,beer,1pilsner,roomjose
4334,89,51,197,193,23,53,beer,1pilsner,roomjose
4567,88,52,196,191,23,53,beer,1pilsner,roomjose
4797,88,52,197,189,23,53,beer,1pilsner,roomjose
5030,88,52,197,188,23,54,beer,1pilsner,roomjose
5268,88,51,196,189,23,54,beer,1pilsner,roomjose
5493,88,51,196,191,23,54,beer,1pilsner,roomjose
5722,88,51,196,193,23,54,beer,1pilsner,roomjose
5951,87,51,197,195,23,54,beer,1pilsner,roomjose
6189,87,52,196,199,23,54,beer,1pilsner,roomjose
6419,88,51,197,202,23,54,beer,1pilsner,roomjose
6648,88,51,197,204,23,54,beer,1pilsner,roomjose
6886,87,51,195,205,23,54,beer,1pilsner,roomjose
7111,87,52,196,206,23,54,beer,1pilsner,roomjose
7344,87,51,196,204,23,54,beer,1pilsner,roomjose
7574,87,51,197,203,23,54,beer,1pilsner,roomjose
7807,87,51,197,204,23,54,beer,1pilsner,roomjose
8037,87,51,196,206,23,54,beer,1pilsner,roomjose
8272,87,51,197,209,23,54,beer,1pilsner,roomjose
8507,87,52,197,213,23,54,beer,1pilsner,roomjose
8733,87,52,198,218,23,54,beer,1pilsner,roomjose
8962,87,52,198,223,23,54,beer,1pilsner,roomjose
9197,88,52,198,228,23,54,beer,1pilsner,roomjose
9425,87,52,199,232,23,54,beer,1pilsner,roomjose
9658,88,52,200,238,23,54,beer,1pilsner,roomjose
9889,88,52,200,243,23,54,beer,1pilsner,roomjose
10121,88,52,199,247,23,54,beer,1pilsner,roomjose
10351,88,52,200,253,23,54,beer,1pilsner,roomjose
10580,89,52,199,255,23,54,beer,1pilsner,roomjose
10814,88,53,199,254,23,54,beer,1pilsner,roomjose
11047,89,52,199,256,23,54,beer,1pilsner,roomjose
11276,89,52,199,258,23,54,beer,1pilsner,roomjose
11506,89,52,199,260,23,54,beer,1pilsner,roomjose
11739,89,52,199,263,23,54,beer,1pilsner,roomjose
11973,88,52,199,265,22,53,beer,1pilsner,roomjose
12202,88,52,199,266,22,53,beer,1pilsner,roomjose
12431,88,52,200,266,22,53,beer,1pilsner,roomjose
12665,89,52,199,268,22,53,beer,1pilsner,roomjose
12894,89,52,199,264,22,53,beer,1pilsner,roomjose
13128,89,52,198,260,23,53,beer,1pilsner,roomjose
13357,88,52,199,257,23,53,beer,1pilsner,roomjose
13590,89,52,198,255,23,53,beer,1pilsner,roomjose
13820,88,52,198,250,23,53,beer,1pilsner,roomjose
14049,88,51,198,249,23,53,beer,1pilsner,roomjose
14286,89,52,198,245,23,53,beer,1pilsner,roomjose
14516,88,51,198,243,23,53,beer,1pilsner,roomjose
14746,88,52,199,239,23,53,beer,1pilsner,roomjose
14975,87,52,199,238,23,53,beer,1pilsner,roomjose
15208,88,52,199,236,23,53,beer,1pilsner,roomjose
