time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH,label,add_label,condition
15,549,153,514,318,25,34,beer,1,roomoffice
16,548,154,515,318,25,34,beer,1,roomoffice
16,549,153,515,319,25,34,beer,1,roomoffice
16,549,154,515,318,25,34,beer,1,roomoffice
17,549,154,515,319,25,34,beer,1,roomoffice
955,548,153,514,318,25,34,beer,1,roomoffice
1086,549,152,515,319,25,34,beer,1,roomoffice
1217,549,153,515,318,25,34,beer,1,roomoffice
1348,548,153,515,318,25,34,beer,1,roomoffice
1479,548,153,515,318,25,34,beer,1,roomoffice
1610,548,153,515,318,25,34,beer,1,roomoffice
1737,549,153,514,319,25,34,beer,1,roomoffice
1868,548,153,515,319,25,34,beer,1,roomoffice
1999,548,153,514,318,25,34,beer,1,roomoffice
2134,548,153,515,318,25,35,beer,1,roomoffice
2265,549,153,514,319,25,35,beer,1,roomoffice
2397,548,153,515,319,25,35,beer,1,roomoffice
2527,548,153,514,320,25,35,beer,1,roomoffice
2659,548,153,514,319,25,35,beer,1,roomoffice
2790,548,153,515,318,25,35,beer,1,roomoffice
2917,548,153,514,319,25,35,beer,1,roomoffice
3048,548,153,515,318,25,35,beer,1,roomoffice
3179,548,152,515,319,25,35,beer,1,roomoffice
3314,548,153,515,319,25,34,beer,1,roomoffice
3445,548,153,515,319,25,34,beer,1,roomoffice
3576,548,153,514,318,25,34,beer,1,roomoffice
3707,548,153,514,318,25,34,beer,1,roomoffice
3838,548,153,515,318,25,34,beer,1,roomoffice
3965,547,153,514,318,25,34,beer,1,roomoffice
4096,548,153,514,319,25,34,beer,1,roomoffice
4227,548,153,514,319,25,34,beer,1,roomoffice
4359,548,153,515,318,25,34,beer,1,roomoffice
4494,547,153,514,318,25,34,beer,1,roomoffice
4625,547,153,514,319,25,34,beer,1,roomoffice
4756,547,153,514,319,25,34,beer,1,roomoffice
4887,548,153,514,319,25,34,beer,1,roomoffice
5014,548,153,513,319,25,34,beer,1,roomoffice
5145,548,153,514,319,25,34,beer,1,roomoffice
5276,547,153,514,318,25,34,beer,1,roomoffice
5407,547,153,513,319,25,34,beer,1,roomoffice
5538,547,153,514,319,25,34,beer,1,roomoffice
5673,547,152,514,318,25,34,beer,1,roomoffice
5804,547,153,514,319,25,34,beer,1,roomoffice
5935,548,152,515,318,25,34,beer,1,roomoffice
6066,548,152,513,319,25,34,beer,1,roomoffice
6193,547,153,514,318,25,34,beer,1,roomoffice
6325,547,152,513,319,25,34,beer,1,roomoffice
6456,548,153,514,318,25,34,beer,1,roomoffice
6587,547,153,513,318,25,34,beer,1,roomoffice
6718,547,153,514,318,25,34,beer,1,roomoffice
6853,547,152,514,318,25,34,beer,1,roomoffice
6984,547,153,514,319,25,34,beer,1,roomoffice
7115,546,153,514,319,25,34,beer,1,roomoffice
7242,548,153,514,318,25,34,beer,1,roomoffice
7373,548,152,514,320,25,34,beer,1,roomoffice
7504,547,153,514,319,25,34,beer,1,roomoffice
7635,547,153,514,319,25,34,beer,1,roomoffice
7766,547,153,514,320,25,34,beer,1,roomoffice
7897,547,153,514,319,25,34,beer,1,roomoffice
8032,547,153,513,318,25,34,beer,1,roomoffice
8163,548,153,513,319,25,34,beer,1,roomoffice
8294,547,152,514,319,25,34,beer,1,roomoffice
8422,547,152,514,319,25,34,beer,1,roomoffice
8553,547,153,513,318,25,34,beer,1,roomoffice
8684,547,153,514,318,25,34,beer,1,roomoffice
