time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
11,508,130,466,275,25,34
11,508,131,466,275,25,34
11,507,131,465,276,25,34
12,508,131,464,276,25,34
12,508,130,465,275,25,34
956,508,131,465,275,25,34
1087,508,131,465,275,25,34
1218,508,131,465,276,25,34
1349,507,131,464,276,25,34
1476,508,131,465,275,25,34
1607,508,131,465,276,25,34
1739,508,131,465,275,25,34
1870,508,131,466,276,25,34
2001,507,130,465,276,25,34
2136,508,131,465,276,25,34
2267,508,130,465,275,25,34
2398,507,131,465,275,25,34
2529,508,131,465,274,25,34
2656,507,130,465,276,25,34
2787,508,131,465,276,25,34
2918,508,131,465,276,25,34
3049,508,131,465,275,25,34
3180,508,131,465,275,25,34
3315,508,131,466,275,25,34
3446,508,131,466,276,25,34
3577,507,131,465,275,25,34
3705,508,131,465,275,25,34
3836,508,131,465,276,25,34
3967,507,131,465,275,25,34
4098,508,131,465,275,25,34
4229,507,130,465,275,25,34
4360,508,131,465,276,25,34
4495,507,131,464,276,25,34
4626,508,131,464,276,25,34
4757,508,131,465,275,25,34
4884,507,131,466,276,25,34
5015,507,130,465,276,25,34
5146,507,131,465,275,25,34
5277,507,130,465,276,25,34
5408,507,131,464,276,25,34
5539,507,131,464,276,25,34
5675,507,131,465,276,25,34
5806,507,131,465,276,25,34
5937,508,131,464,275,25,34
6064,507,131,464,276,25,34
6195,507,131,465,276,25,34
6326,508,131,464,276,25,34
6457,507,131,465,276,25,34
6588,507,130,465,276,25,34
6719,507,130,465,276,25,34
6854,507,131,465,276,25,34
6985,507,130,465,276,25,34
7112,507,130,465,276,25,34
7243,507,131,464,277,25,34
7374,507,131,465,276,25,34
7505,507,131,465,276,25,34
7636,507,131,465,276,25,34
7767,507,131,465,276,25,34
7898,508,131,465,275,25,34
8034,507,130,465,277,25,34
8165,507,131,465,276,25,34
8292,507,131,465,275,25,34
8423,507,131,464,276,25,34
8554,507,131,465,276,25,34
8685,507,130,465,276,25,34
8816,507,131,465,276,25,34
8947,507,130,465,276,25,34
9078,507,131,465,277,25,34
9213,507,130,464,276,25,34
9344,507,130,465,276,25,34
9471,507,131,465,276,25,34
9602,507,131,465,276,25,34
9734,507,131,465,276,25,34
9865,507,130,465,276,25,34
9996,507,130,465,276,25,34
10127,507,130,465,276,25,34
10258,507,131,465,276,25,34
10393,507,130,465,277,25,34
10520,507,131,464,276,25,34
10651,507,131,465,276,25,34
10782,507,130,465,276,25,34
10913,507,131,464,276,25,34
11044,507,131,465,276,25,34
11175,507,130,465,276,25,34
11306,507,131,465,276,25,34
11437,507,130,465,275,25,34
11572,507,130,465,276,25,34
11700,507,130,465,276,25,34
11831,507,130,464,276,25,34
11962,507,130,464,275,25,34
12093,506,130,465,276,25,34
12224,507,131,464,275,25,34
12355,507,131,464,275,25,34
12486,506,131,466,276,25,34
12617,506,131,464,275,25,34
12748,506,130,464,275,25,34
12879,506,130,464,276,25,34
13010,507,130,465,276,25,34
13141,507,130,465,275,25,34
13272,507,131,465,276,25,34
13403,506,131,465,275,25,34
13534,507,131,465,275,25,34
13666,507,131,465,275,25,34
13797,506,130,465,275,25,34
13928,507,130,465,276,25,34
14059,507,130,465,275,25,34
14190,507,130,465,275,25,34
14321,507,131,464,275,25,34
14452,507,131,465,274,25,34
14583,507,130,464,275,25,34
14714,506,130,464,274,25,34
14845,506,131,465,275,25,34
14976,507,130,464,274,25,34
15107,507,130,465,275,25,34
15238,506,131,465,275,25,34
15369,507,131,465,275,25,34
15501,506,130,464,275,25,34
15631,506,130,465,275,25,34
15763,507,130,465,274,25,34
15894,506,130,465,275,25,34
16025,506,130,465,275,25,34
16156,506,130,465,274,25,34
16287,506,131,464,275,25,34
16418,507,130,465,274,25,34
16549,506,130,465,275,25,34
16680,506,130,465,275,25,34
16811,506,130,464,275,25,34
16942,507,130,464,275,25,34
17073,506,130,465,274,25,34
17204,506,130,465,274,25,34
17335,506,131,464,274,25,34
17467,506,130,464,274,25,34
17597,506,130,465,274,25,34
17729,507,130,464,274,25,34
17860,506,130,463,274,25,34
17991,506,130,465,275,25,34
18122,506,130,464,275,25,34
18253,506,130,464,274,25,34
18384,506,130,464,273,25,34
18515,506,130,465,274,25,34
18646,506,130,464,274,25,34
18777,506,130,464,274,25,34
18908,506,130,464,274,25,34
19039,506,130,464,274,25,34
19170,505,130,464,274,25,34
19301,506,130,465,274,25,34
19432,506,130,464,274,25,34
19563,506,130,463,275,25,34
19690,505,130,465,274,25,34
19826,505,130,463,274,25,34
19957,505,129,464,274,25,34
20088,506,130,464,273,25,34
20219,505,130,465,274,25,34
20350,506,130,464,274,25,34
20481,506,130,463,273,25,34
20612,506,130,465,274,25,34
20743,506,130,464,274,25,34
20870,506,130,464,274,25,34
21005,506,130,464,274,25,34
21136,506,129,464,274,25,34
21267,506,130,464,274,25,34
21399,505,130,464,273,25,34
21530,505,130,464,274,25,34
21661,505,129,464,275,25,34
21792,506,130,464,274,25,34
21919,505,130,464,274,25,34
22050,505,130,464,274,25,34
22185,506,130,464,274,25,34
22316,505,129,464,274,25,34
22447,506,130,463,274,25,34
22578,506,130,465,274,25,34
22709,504,130,464,273,25,34
22840,505,130,464,274,25,34
22971,505,130,464,274,25,34
23098,505,130,464,273,25,34
23229,505,130,464,274,25,34
23364,505,129,464,273,25,34
23496,506,130,463,274,25,34
23626,506,130,464,274,25,34
23758,505,129,464,273,25,34
23889,506,130,464,274,25,34
24020,505,130,464,274,25,34
24151,505,130,464,273,25,34
24278,505,129,464,274,25,34
24409,505,129,463,274,25,34
24544,505,129,464,273,25,34
24675,505,130,463,274,25,34
24806,505,130,464,274,25,34
24937,505,129,464,274,25,34
25068,505,130,464,274,25,34
25199,505,129,464,273,25,34
25326,505,130,464,274,25,34
25457,505,129,464,274,25,34
25588,505,130,464,273,25,34
25724,506,130,463,274,25,34
25855,506,130,464,273,25,34
25986,505,129,463,274,25,34
26117,504,129,463,274,25,34
26248,505,129,464,274,25,34
26379,505,130,464,274,25,34
26506,505,130,463,274,25,34
26637,505,129,463,273,25,34
26768,505,129,463,273,25,34
26903,505,129,464,273,25,34
27034,504,130,464,273,25,34
27165,505,130,464,273,25,34
27296,505,129,464,273,25,34
