time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
1087,523,225,558,382,28,32
1214,522,225,558,381,28,32
1345,522,226,558,381,28,32
1477,522,225,558,381,28,32
1608,522,225,557,380,28,32
1739,522,225,557,380,28,32
1870,522,225,557,379,28,32
2001,523,226,558,379,28,32
2132,522,225,557,379,28,32
2267,523,225,558,379,27,31
2394,523,225,557,379,27,31
2525,522,225,557,378,27,31
2656,522,225,558,378,27,31
2787,522,225,557,378,27,31
2918,522,225,557,378,27,31
3049,521,224,557,378,27,31
3180,522,225,557,378,27,31
3312,522,224,557,378,27,31
3443,522,224,557,378,27,31
3574,522,224,557,377,27,31
3705,522,224,557,378,27,31
3836,521,225,557,377,27,31
3967,522,225,557,377,27,31
4098,521,224,556,377,27,31
4229,522,225,557,377,27,31
4360,522,224,557,377,27,31
4491,522,225,557,377,27,31
4622,521,224,557,377,27,31
4753,522,225,557,378,27,31
4884,521,224,557,377,27,31
5015,522,224,556,377,27,31
5146,522,224,556,376,27,31
5277,522,225,557,377,27,31
5409,522,224,556,377,27,31
5540,521,224,557,376,27,31
5671,521,224,557,376,27,31
5802,522,224,557,377,27,31
5933,521,224,556,376,27,31
6064,521,224,557,377,27,31
6195,521,224,557,377,27,31
6326,521,224,556,377,27,31
6457,521,224,556,376,27,31
6588,521,224,556,377,27,31
6719,521,224,556,376,27,31
6850,521,224,556,376,27,31
6981,522,224,556,376,28,32
7112,521,224,556,375,28,32
7244,522,224,556,376,28,32
7375,521,224,556,376,28,32
7506,521,224,556,376,28,32
7637,521,224,556,377,28,32
7768,521,224,557,376,28,32
7899,521,223,557,376,28,32
8030,521,224,556,375,28,32
8161,520,224,556,375,27,31
8292,522,224,556,374,27,31
8423,520,223,555,375,27,31
8554,521,223,556,376,27,31
8685,521,223,556,375,27,31
8816,520,224,555,375,27,31
8948,520,223,556,376,27,31
9079,521,224,556,374,27,31
9210,521,223,556,375,27,31
9341,521,224,556,375,27,31
9472,520,223,556,374,27,31
9603,521,223,555,375,27,31
9734,520,224,554,375,27,31
9865,521,224,556,374,27,31
9996,521,223,556,375,27,31
10127,520,223,556,375,27,31
10258,520,223,556,375,27,31
10385,520,223,556,374,27,31
10520,521,223,555,374,27,31
10651,521,224,556,374,27,31
10782,521,224,555,374,27,31
10913,521,223,556,374,27,31
11044,520,223,555,374,27,31
11175,521,223,555,374,27,31
11307,520,223,555,374,27,31
11438,520,223,555,373,27,31
11565,520,223,556,375,27,31
11700,520,223,556,373,28,32
11831,520,223,555,373,28,32
11962,520,223,555,373,28,32
12093,520,223,554,372,28,32
12224,520,223,555,373,28,32
12355,520,223,555,373,28,32
12486,521,223,555,374,28,32
12613,520,224,555,374,28,32
12744,520,223,555,373,28,32
12879,520,223,555,373,28,32
13010,519,223,555,373,28,32
13141,520,223,555,373,28,32
13273,520,223,555,374,28,32
13403,520,223,555,373,28,32
13535,520,223,555,372,28,32
13662,520,223,555,373,28,32
13793,520,223,555,372,28,32
13924,520,223,555,372,28,32
14059,520,222,554,373,28,32
14190,520,223,554,373,28,32
14321,520,222,555,373,28,32
14452,520,223,555,374,28,32
14583,520,222,554,373,28,32
14710,519,223,554,373,28,32
14841,520,223,554,372,28,32
14972,520,223,555,373,28,32
15103,520,222,554,374,28,32
15239,520,222,554,373,27,31
15369,519,222,555,373,27,31
15501,519,222,554,373,27,31
15632,520,222,555,373,27,31
15763,520,222,555,373,27,31
15890,520,222,555,373,27,31
16021,520,223,555,373,27,31
16152,520,222,555,373,27,31
16283,520,222,554,372,27,31
16418,519,222,555,372,27,31
16549,520,222,554,373,27,31
16680,519,223,554,372,27,31
16811,520,222,555,373,27,31
16942,519,222,554,372,27,31
17070,519,222,553,373,27,31
17200,519,222,554,372,27,31
17331,520,222,554,373,27,31
17463,520,222,554,373,27,31
17598,520,222,555,372,28,32
17729,519,222,554,372,28,32
17860,520,222,554,372,28,32
17991,519,222,554,373,28,32
18118,519,222,554,372,28,32
18249,519,222,554,372,28,32
18380,520,222,554,372,28,32
18511,520,222,554,372,28,32
18642,520,222,554,373,28,32
18777,518,222,554,372,28,32
18908,519,222,554,372,28,32
19039,519,222,554,372,28,32
19166,520,222,554,372,28,32
19297,519,222,554,372,28,32
19429,519,222,554,372,28,32
19560,519,222,554,373,28,32
19691,519,222,554,372,28,32
19822,519,221,554,372,28,32
19957,519,222,554,373,27,31
20088,519,222,554,372,27,31
20219,519,222,553,373,27,31
20346,519,222,554,373,27,31
20477,519,222,554,372,27,31
20608,518,221,554,373,27,31
20739,519,222,554,372,27,31
20870,519,222,553,371,27,31
21001,519,222,554,373,27,31
21136,519,222,554,372,28,32
21268,519,221,554,372,28,32
21395,519,222,554,373,28,32
21526,519,221,554,373,28,32
21657,519,222,554,373,28,32
21788,519,222,554,372,28,32
21919,518,221,554,374,28,32
22050,519,221,553,371,28,32
22181,519,222,554,372,28,32
22316,519,222,553,373,28,32
22443,519,222,554,372,28,32
22574,519,222,553,373,28,32
22705,519,221,553,373,28,32
22836,519,222,554,373,28,32
22967,519,221,553,372,28,32
23098,519,221,554,373,28,32
23229,519,221,553,373,28,32
23360,519,221,554,373,28,32
23492,519,221,553,372,28,32
23623,519,221,553,373,28,32
23754,519,221,554,372,28,32
23885,519,221,554,372,28,32
24016,519,222,553,372,28,32
24147,519,221,553,372,28,32
24278,518,221,553,373,28,32
24409,518,221,553,373,28,32
24540,519,221,553,373,28,32
24671,519,221,553,372,28,32
24802,519,222,554,373,28,32
24933,519,221,554,372,28,32
25064,518,221,553,373,28,32
25195,518,221,553,372,28,32
25327,518,221,553,373,28,32
25458,518,221,553,372,28,32
25589,518,221,553,372,28,32
25720,519,221,552,372,28,32
25851,519,221,553,372,27,31
25982,518,221,553,372,27,31
26113,519,221,553,372,27,31
26244,519,221,553,373,27,31
26375,519,221,553,373,27,31
26506,519,221,553,372,27,31
26637,519,221,553,373,27,31
26768,519,221,553,373,27,31
26899,519,220,553,372,27,31
27030,519,221,553,372,28,32
27161,518,221,554,373,28,32
27292,519,221,552,372,28,32
27424,519,221,553,372,28,32
27554,519,221,552,372,28,32
27686,519,220,553,372,28,32
27817,519,220,553,371,28,32
27948,519,221,553,373,28,32
28075,518,221,552,372,28,32
28210,519,220,554,373,28,32
28341,519,220,553,372,28,32
28472,518,221,553,372,28,32
28603,518,220,554,372,28,32
28734,518,221,552,372,28,32
28865,518,220,553,371,28,32
28996,518,220,553,371,28,32
29124,518,221,552,371,28,32
29254,518,220,553,372,28,32
29390,518,221,553,371,27,31
29521,518,220,553,371,27,31
29652,519,220,552,371,27,31
29783,519,221,552,371,27,31
29914,518,221,553,371,27,31
30045,518,220,553,371,27,31
30176,518,221,552,371,27,31
30303,518,221,552,371,27,31
30434,518,220,552,370,27,31
30569,518,220,553,370,28,32
30700,518,220,552,371,28,32
30832,518,220,552,370,28,32
30962,518,220,552,370,28,32
31093,518,220,553,369,28,32
31225,518,220,552,369,28,32
31352,518,220,552,370,28,32
31483,518,220,552,370,28,32
31614,518,220,552,370,28,32
31749,518,220,552,369,28,32
31880,517,220,552,369,28,32
32011,518,220,552,369,28,32
32142,517,220,552,369,28,32
32273,518,220,552,369,28,32
32404,518,220,552,369,28,32
32531,518,220,552,369,28,32
32662,518,220,552,368,28,32
32793,518,220,552,368,28,32
32928,518,219,552,369,28,32
33060,517,219,552,368,28,32
33191,518,220,552,369,28,32
33322,517,220,551,368,28,32
33453,517,219,552,369,28,32
33580,517,220,552,368,28,32
33711,518,219,552,367,28,32
33842,517,220,552,368,28,32
33973,518,219,551,367,28,32
34108,517,219,551,367,27,31
34239,518,219,551,368,27,31
34370,517,219,551,368,27,31
34501,518,219,552,368,27,31
34632,517,219,551,367,27,31
34759,517,219,551,367,27,31
34890,517,219,551,368,27,31
35022,518,220,551,368,27,31
35152,517,219,551,367,27,31
35288,516,219,550,368,27,31
35419,518,219,550,367,27,31
35550,517,219,551,367,27,31
35681,517,219,551,367,27,31
35808,517,219,551,367,27,31
35939,517,220,552,367,27,31
36070,517,218,551,367,27,31
36201,517,219,550,368,27,31
36332,517,219,550,366,27,31
36467,517,219,551,367,28,32
36598,517,219,551,366,28,32
36729,517,219,551,368,28,32
36860,517,219,551,366,28,32
36987,517,218,551,367,28,32
37118,516,219,551,367,28,32
37249,517,219,551,368,28,32
37381,517,219,551,367,28,32
37512,516,218,551,368,28,32
37647,517,219,551,367,27,30
37778,516,219,551,367,27,30
37909,516,218,551,367,27,30
38036,517,218,550,367,27,30
38167,516,218,551,368,27,30
38298,517,218,551,367,27,30
38429,517,219,551,367,27,30
38560,516,218,551,367,27,30
38691,517,218,551,367,27,30
38827,516,218,550,367,27,30
38958,517,219,550,366,27,30
39088,517,219,550,367,27,30
39215,517,219,550,367,27,30
39347,516,218,550,367,27,30
39478,517,218,550,367,27,30
39609,517,219,551,367,27,30
39740,516,218,551,367,27,30
39871,516,219,550,368,27,30
40006,517,219,550,367,28,32
40137,517,219,550,367,28,32
40264,516,219,550,367,28,32
40395,517,218,550,367,28,32
40526,516,218,551,367,28,32
40657,516,218,550,368,28,32
40788,516,219,549,366,28,32
40919,516,218,550,367,28,32
41051,516,218,550,366,28,32
41186,516,219,549,367,28,31
41317,516,218,551,367,28,31
41444,516,218,550,367,28,31
41575,516,218,550,367,28,31
41706,517,218,550,366,28,31
41837,517,218,550,367,28,31
41968,516,218,550,366,28,31
42099,516,218,550,367,28,31
42230,517,218,551,366,28,31
42365,516,218,550,366,28,31
42496,516,218,550,366,28,31
42623,516,218,550,367,28,31
42754,517,218,550,367,28,31
42885,516,218,550,367,28,31
43016,516,218,549,367,28,31
43147,516,218,550,366,28,31
43279,516,218,550,367,28,31
