time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
2453,768,693,555,216,25,34
2584,768,693,556,217,25,34
2715,767,693,555,216,25,34
2846,768,692,556,217,25,34
2977,768,693,556,216,25,34
3109,768,693,556,216,25,34
3240,768,693,555,216,25,34
3371,768,692,556,216,25,34
3502,769,693,556,216,25,34
3633,768,693,555,217,25,34
3764,768,692,556,217,25,34
3895,767,693,556,216,25,34
4026,768,693,556,217,25,34
4157,768,692,555,216,25,34
4288,768,693,555,217,25,34
4419,768,692,556,216,25,34
4546,768,693,556,216,25,34
4681,768,693,555,217,25,34
4812,767,692,556,216,25,34
4943,768,693,556,217,25,34
5075,768,693,556,217,25,34
5206,768,692,556,217,25,34
5337,767,693,556,217,25,34
5468,768,692,556,216,25,34
5599,769,693,556,216,25,34
5726,768,693,555,217,25,34
5861,768,692,555,216,25,34
5992,768,692,556,216,25,34
6123,769,693,556,216,25,34
6254,768,693,556,216,25,34
6385,769,693,555,216,25,34
6516,768,692,556,217,25,34
6647,768,693,556,217,25,34
6774,768,692,556,216,25,34
6905,767,693,556,216,25,34
7041,767,693,555,216,25,34
7172,767,692,555,216,25,34
7303,768,693,556,216,25,34
7434,768,693,556,216,25,34
7565,768,692,556,216,25,34
7696,768,693,555,216,25,34
7827,767,693,555,216,25,34
7954,768,692,556,217,25,34
8085,768,692,556,216,25,34
8220,768,692,556,217,25,34
8351,768,692,555,216,25,34
8482,768,693,555,216,25,34
8613,767,692,555,216,25,34
8744,769,693,556,216,25,34
8875,768,692,555,216,25,34
9002,768,693,555,216,25,34
9133,768,692,556,216,25,34
9265,767,693,556,217,25,34
9400,768,692,555,216,25,34
9531,768,693,556,216,25,34
9662,768,692,556,216,25,34
9793,767,692,556,216,25,34
9924,768,693,556,216,25,34
10051,768,693,556,215,25,34
10182,768,693,555,216,25,34
10313,768,693,556,216,25,34
10444,768,693,556,216,25,34
10579,768,692,555,216,25,34
10710,768,693,555,217,25,34
10841,767,692,555,216,25,34
10972,768,692,555,216,25,34
11103,769,693,556,216,25,34
11231,769,693,556,215,25,34
11362,769,692,555,216,25,34
11493,768,693,556,216,25,34
11624,767,693,556,216,25,34
11759,768,693,556,216,25,34
11890,769,693,555,216,25,34
12021,768,693,556,217,25,34
12152,768,693,556,216,25,34
12279,767,692,555,216,25,34
12410,768,692,556,217,25,34
12541,768,692,556,216,25,34
12672,768,692,555,216,25,34
12803,768,693,556,216,25,34
12938,768,693,556,216,25,34
13070,769,693,555,216,25,34
13201,768,692,556,216,25,34
13332,768,693,555,216,25,34
13459,768,693,555,216,25,34
13590,768,693,556,216,25,34
13721,768,692,555,216,25,34
13852,768,692,556,216,25,34
13983,769,693,556,216,25,34
14118,768,693,556,216,25,34
14249,767,692,556,216,25,34
14380,769,692,556,216,25,34
14507,768,693,556,216,25,34
