time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
2266,945,539,888,584,24,34
2397,945,539,888,585,24,34
2524,945,539,889,587,24,34
2655,946,539,888,587,24,34
2786,946,539,889,588,24,34
2917,946,538,889,587,24,34
3048,946,539,889,587,24,34
3179,946,539,889,581,24,34
3314,946,538,890,571,24,34
3445,945,539,889,563,24,34
3572,945,539,889,557,24,34
3703,946,539,889,551,24,34
3834,945,539,890,548,24,34
3965,945,539,890,546,24,34
4097,946,539,889,547,24,34
4228,946,539,890,551,24,34
4359,945,538,888,558,24,34
4494,946,539,889,564,24,34
4625,945,538,888,571,24,34
4752,946,539,888,576,24,34
4883,946,538,888,581,24,34
5014,946,539,888,583,24,34
5145,946,539,888,586,24,34
5276,946,538,888,587,24,34
5407,946,539,888,589,24,34
5538,946,538,888,591,24,34
5673,945,539,888,593,24,34
5800,946,539,888,592,24,34
5932,945,539,889,593,24,34
6063,946,539,889,593,24,34
6194,946,539,889,592,24,34
6325,946,539,888,593,24,34
6456,945,539,888,593,24,34
6587,946,539,888,592,24,34
6718,946,539,889,589,24,34
6849,945,539,889,578,24,34
6980,945,540,888,570,24,34
7111,946,539,889,560,24,34
7242,945,539,890,555,24,34
7373,945,539,890,550,24,34
7504,945,538,890,547,24,34
7635,946,539,889,546,24,34
7766,945,539,890,546,24,34
7897,946,539,890,553,24,34
8029,945,539,890,561,24,34
8160,946,539,890,568,24,34
8291,945,539,890,574,24,34
8422,946,540,890,579,24,34
8553,945,539,890,584,24,34
8684,946,539,890,585,24,34
8815,946,539,890,589,24,34
8946,945,539,890,593,24,34
9077,946,540,889,594,24,34
9208,946,539,889,596,24,34
9339,945,539,889,597,24,34
9470,946,539,888,598,24,34
9601,945,539,888,599,24,34
9733,946,539,888,598,24,34
9863,946,539,888,600,24,34
9995,946,540,889,600,24,34
10126,946,539,888,600,24,34
10253,946,540,887,599,24,34
10388,945,540,888,600,24,34
10519,946,539,887,599,24,34
10650,946,539,888,598,24,34
10781,945,538,889,596,24,34
10912,945,540,888,588,24,34
11043,946,539,888,579,24,34
11174,945,539,888,570,24,34
11301,946,540,889,564,24,34
11432,946,539,888,558,24,34
11567,946,539,888,554,24,34
11699,945,540,888,552,24,34
11830,946,539,889,553,24,34
11961,945,540,888,559,24,34
12092,946,540,889,567,24,34
12223,946,539,888,572,24,34
12350,946,539,889,578,24,34
12481,946,540,889,584,24,34
12612,946,539,890,587,24,34
12747,946,539,889,590,24,34
12878,946,540,889,593,24,34
13009,946,540,889,596,24,34
13140,946,540,890,598,24,34
13271,946,539,888,598,24,34
13398,945,539,889,598,24,34
13529,945,539,889,600,24,34
13660,944,539,888,601,24,34
13791,945,539,888,600,24,34
13927,945,539,888,600,24,34
14058,946,539,888,600,24,34
14189,945,539,888,600,24,34
14320,946,539,887,599,24,34
14447,945,539,887,593,24,34
14578,946,539,887,583,24,34
14709,945,539,888,574,24,34
14840,946,538,887,565,24,34
14971,945,538,887,558,24,34
15106,946,538,888,553,24,34
15237,946,538,888,551,24,34
15368,946,539,888,548,24,34
15495,946,539,888,549,24,34
15626,945,539,888,555,24,34
15757,946,537,889,561,24,34
15889,945,539,888,568,24,34
16020,946,538,888,576,24,34
16151,945,539,888,580,24,34
16286,946,538,888,585,24,34
16417,945,538,888,587,24,34
16544,945,537,889,591,24,34
16675,946,538,889,593,24,34
16806,945,537,889,594,24,34
16937,945,537,889,594,24,34
17068,945,537,889,597,24,34
17199,945,537,889,597,24,34
17330,946,537,888,597,24,34
17465,945,538,889,597,24,34
17596,945,538,888,596,24,34
17723,945,537,888,595,24,34
17855,945,537,888,588,24,34
17986,945,537,887,578,24,34
18117,946,537,887,570,24,34
18248,945,537,887,561,24,34
18379,945,537,886,554,24,34
18510,946,537,887,550,24,34
18645,946,538,887,547,24,34
18772,945,538,886,547,24,34
18903,946,538,887,548,24,34
19034,945,538,887,555,24,34
19165,944,538,887,562,24,34
19296,945,538,887,568,24,34
19427,946,538,887,573,24,34
19558,945,537,887,578,24,34
19689,946,538,887,582,24,34
19820,945,538,887,584,24,34
19951,945,537,888,586,24,34
20083,945,538,888,588,24,34
20214,945,537,888,590,24,34
20345,944,538,888,590,24,34
20476,945,538,888,590,24,34
20607,945,538,888,590,24,34
20738,945,538,888,589,24,34
20869,945,538,887,582,24,34
21000,945,538,888,572,24,34
21131,946,538,887,564,24,34
21262,946,537,888,556,24,34
21393,944,538,887,551,24,34
21524,945,538,886,545,24,34
21655,944,538,886,542,24,34
21786,946,538,887,542,24,34
21917,945,538,886,541,24,34
22049,945,538,886,544,24,34
22180,945,538,885,551,24,34
22311,945,538,886,558,24,34
22442,945,538,886,563,24,34
22573,946,538,886,569,24,34
22704,945,538,886,573,24,34
22835,945,537,886,577,24,34
22966,945,537,886,581,24,34
23097,945,538,886,583,24,34
23224,945,538,886,584,24,34
23359,944,537,887,586,24,34
23490,945,538,887,586,24,34
23621,945,537,887,586,24,34
23752,945,537,887,586,24,34
23884,945,538,887,582,24,34
24015,945,537,887,573,24,34
24146,945,538,888,565,24,34
24273,945,538,888,557,24,34
24404,945,538,887,551,24,34
24539,945,538,887,545,24,34
24670,945,538,888,544,24,34
24801,945,537,887,544,24,34
24932,945,538,888,546,24,34
25063,945,537,887,552,24,34
