time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
1215,901,369,809,355,26,34
1346,901,369,809,356,26,34
1477,901,370,809,356,26,34
1608,901,369,810,355,26,34
1739,901,369,809,355,26,34
1870,901,369,809,355,26,34
2001,902,369,810,356,26,34
2132,901,369,810,355,26,34
2259,902,369,809,355,26,34
2395,901,370,809,355,26,34
2525,901,369,809,355,26,34
2657,901,370,809,354,26,34
2788,901,369,809,355,26,34
2919,901,369,809,355,26,34
3050,901,369,810,355,26,34
3181,901,369,810,355,26,34
3312,900,370,810,355,26,34
3439,901,369,809,355,26,34
3574,901,370,810,355,26,34
3705,900,369,810,355,26,34
3836,901,369,809,355,26,34
3967,901,369,810,355,26,34
4098,900,369,809,354,26,34
4229,901,369,810,355,26,34
4360,901,370,810,355,26,34
4487,902,369,809,354,26,34
4619,901,369,810,355,26,34
4754,901,369,809,355,26,33
4885,901,369,809,354,26,33
5016,901,369,809,354,26,33
5147,901,369,810,355,26,33
5278,901,370,810,355,26,33
5409,901,369,809,355,26,33
5536,901,370,809,355,26,33
5667,901,369,809,354,26,33
5798,901,369,810,354,26,33
5933,901,369,809,355,26,34
6064,901,369,809,356,26,34
6196,901,369,810,356,26,34
6326,900,369,810,354,26,34
6458,901,369,809,355,26,34
6589,901,369,809,355,26,34
6716,900,369,809,354,26,34
6847,901,369,809,355,26,34
6978,901,369,808,355,26,34
7113,901,369,810,355,26,34
7244,900,369,809,354,26,34
7375,902,369,809,355,26,34
7506,900,369,810,355,26,34
7637,901,369,810,354,26,34
7764,901,369,809,355,26,34
7895,901,369,810,355,26,34
8026,902,369,809,355,26,34
8157,901,369,809,354,26,34
8292,901,369,809,355,26,34
8424,901,369,809,356,26,34
8555,901,369,809,355,26,34
8686,901,369,810,355,26,34
8813,901,369,810,354,26,34
8944,900,369,810,355,26,34
9075,902,369,810,354,26,34
9206,901,369,809,355,26,34
9337,900,369,810,354,26,34
9472,901,369,809,355,26,33
9603,901,369,810,354,26,33
9734,901,370,809,354,26,33
9865,902,369,810,355,26,33
9992,901,369,810,355,26,33
10123,901,368,809,355,26,33
10254,900,369,809,355,26,33
10385,900,369,810,355,26,33
10516,901,369,808,355,26,33
10652,901,370,809,355,26,33
10783,902,369,809,355,26,33
10914,901,369,809,356,26,33
11041,901,370,809,355,26,33
11172,901,369,809,355,26,33
11303,901,369,809,355,26,33
11434,901,369,809,355,26,33
11565,901,369,810,356,26,33
11696,901,369,809,355,26,33
11831,901,369,810,355,26,33
11962,901,369,809,355,26,33
12089,901,370,809,356,26,33
12220,901,369,810,356,26,33
12351,901,369,809,355,26,33
12482,901,369,810,356,26,33
12614,900,369,809,356,26,33
12745,901,368,810,355,26,33
12876,901,369,809,355,26,33
13011,901,370,810,355,26,33
13138,901,369,809,355,26,33
13269,902,369,810,356,26,33
13400,901,369,809,356,26,33
13531,901,369,810,354,26,33
13662,900,369,809,356,26,33
13793,901,369,810,355,26,33
13924,901,369,809,355,26,33
14055,901,369,810,356,26,33
14190,901,369,809,355,26,33
14317,901,369,810,355,26,33
14448,901,370,809,355,26,33
14580,902,369,810,356,26,33
14711,901,369,810,356,26,33
14842,901,369,810,354,26,33
14973,902,369,809,355,26,33
15104,901,369,810,355,26,33
15235,901,369,810,354,26,33
15366,901,369,810,355,26,33
15497,902,369,809,356,26,33
15628,901,369,810,355,26,33
15759,900,369,809,356,26,33
15890,900,369,810,356,26,33
16021,901,369,809,356,26,33
16152,901,370,810,356,26,33
16283,900,369,809,355,26,33
16414,901,369,810,355,26,33
16546,902,369,809,355,26,33
16677,902,369,810,355,26,33
16808,900,369,808,355,26,33
16939,902,369,809,355,26,33
17070,901,369,810,356,26,33
17201,901,369,809,355,26,33
17332,901,369,808,356,26,33
17463,901,369,809,355,26,33
17594,901,370,810,356,26,33
17725,901,369,810,355,26,33
17856,902,369,809,354,26,33
17987,902,369,809,356,26,33
18118,901,368,809,354,26,33
18249,901,369,809,355,26,33
18380,902,369,809,355,26,33
18511,902,369,809,355,26,33
18643,901,368,809,355,26,33
18770,901,369,809,354,26,33
18905,902,369,810,355,26,33
19036,901,369,810,355,26,33
19167,901,369,810,355,26,33
19298,902,369,810,355,26,33
19429,901,368,810,355,26,33
19560,901,369,810,355,26,33
19691,901,369,810,355,26,33
19822,901,369,810,355,26,33
19949,900,369,810,356,26,33
20084,901,369,809,355,26,33
20215,901,369,809,355,26,33
20347,901,369,809,354,26,33
20478,901,369,809,355,26,33
20609,901,369,809,355,26,33
20740,901,369,809,355,26,33
20871,900,369,809,356,26,33
20998,901,369,809,355,26,33
21129,901,369,809,355,26,33
21264,901,369,810,355,26,33
21395,902,369,809,355,26,33
21526,902,369,810,355,26,33
21657,901,369,809,356,26,33
21788,901,368,809,355,26,33
21919,901,368,809,356,26,33
22046,901,369,810,356,26,33
22177,901,369,809,356,26,33
22308,901,369,809,356,26,33
22444,901,369,809,355,26,33
22575,901,369,809,356,26,33
22706,901,369,810,355,26,33
22837,900,369,810,356,26,33
22968,901,369,809,355,26,33
23095,901,369,809,355,26,33
23226,900,370,809,356,26,33
23357,901,369,810,355,26,33
23488,902,368,809,355,26,33
23623,902,369,809,356,26,33
23754,901,369,810,356,26,33
23885,902,369,809,356,26,33
24016,901,369,810,356,26,33
24147,901,369,810,355,26,33
24274,901,369,810,355,26,33
24406,901,369,809,356,26,33
24537,902,369,809,357,26,33
24668,902,369,809,356,26,33
24803,901,369,809,357,26,33
24934,901,369,809,357,26,33
25065,902,369,810,356,26,33
25196,902,369,810,356,26,33
25323,901,369,810,356,26,33
25454,902,369,809,356,26,33
25585,901,369,810,356,26,33
25716,901,370,809,357,26,33
25847,901,369,809,355,26,33
25982,901,369,809,356,26,33
26113,901,370,809,356,26,33
26244,901,369,809,356,26,33
26372,902,369,810,357,26,33
26503,901,369,810,356,26,33
26634,901,369,809,356,26,33
26765,901,369,809,357,26,33
26896,901,369,810,356,26,33
27027,901,370,809,357,26,33
27162,902,369,809,356,26,33
27293,901,369,809,357,26,33
27424,902,369,809,355,26,33
27551,902,369,809,357,26,33
27682,901,369,810,356,26,33
27813,901,369,809,356,26,33
27945,901,370,810,355,26,33
28075,902,369,809,357,26,33
28206,902,369,810,356,26,33
28341,902,370,809,355,26,33
28472,902,370,809,356,26,33
28600,901,369,809,357,26,33
28731,902,369,809,357,26,33
28862,901,370,810,357,26,33
28993,901,369,810,356,26,33
29124,902,369,809,357,26,33
29255,902,370,809,356,26,33
29386,902,370,809,357,26,33
29521,902,369,809,357,26,33
29648,902,369,808,356,26,33
29779,902,369,810,356,26,33
29910,901,370,809,358,26,33
30041,901,370,809,356,26,33
30172,901,369,809,357,26,33
30303,902,369,810,356,26,33
30434,902,369,809,357,26,33
30565,902,370,809,356,26,33
30696,901,370,810,357,26,33
30828,902,370,809,357,26,33
30959,902,370,810,357,26,33
31090,901,370,809,357,26,33
31221,901,369,810,357,26,33
31352,901,369,810,357,26,33
31483,902,369,809,357,26,33
31614,902,370,810,357,26,33
31745,902,370,809,357,26,33
31876,902,370,810,358,26,33
32007,900,370,809,357,26,33
32138,902,369,809,358,26,33
32269,901,370,809,357,26,33
32400,901,370,809,357,26,33
32532,901,369,809,357,26,33
32663,901,370,810,358,26,33
32794,902,369,810,358,26,33
32925,901,369,810,357,26,33
33056,902,369,809,357,26,33
33187,902,370,809,358,26,33
33318,901,370,810,357,26,33
33449,901,370,810,358,26,33
33580,902,370,809,358,26,33
33711,902,369,809,358,26,33
33842,902,370,810,358,26,33
33973,901,370,809,359,26,33
34100,901,370,809,358,26,33
34235,902,370,810,358,26,33
34367,901,369,809,358,26,33
34498,902,370,809,358,26,33
34628,901,370,810,358,26,33
34760,902,369,810,358,26,33
34891,901,370,809,358,26,33
35022,902,370,810,358,26,33
35153,901,370,810,358,26,33
35280,902,369,809,358,26,33
35415,902,370,810,358,26,33
35546,901,369,810,358,26,33
35677,901,369,810,359,26,33
35808,902,370,810,359,26,33
35939,902,370,810,358,26,33
36070,902,370,809,359,26,33
36201,902,369,809,358,26,33
36329,901,370,810,358,26,33
36460,902,369,810,359,26,33
36595,902,370,809,358,26,33
36726,901,370,809,359,26,33
36857,902,370,809,359,26,33
36988,902,370,810,359,26,33
37119,902,370,810,359,26,33
37250,901,370,809,359,26,33
37377,901,370,810,360,26,33
37508,902,370,810,358,26,33
37639,902,370,810,359,26,33
37774,901,370,809,359,26,33
37905,902,369,810,358,26,33
38037,902,370,810,359,26,33
38168,902,370,810,358,26,33
38298,901,370,810,358,26,33
38429,902,370,810,359,26,33
38557,901,370,810,359,26,33
38688,902,370,810,359,26,33
38819,902,370,809,359,26,33
38954,902,370,810,358,26,33
39085,902,370,810,359,26,33
39216,902,369,809,359,26,33
39347,902,369,810,359,26,33
39478,902,370,810,359,26,33
39605,902,370,810,358,26,33
39736,902,370,810,359,26,33
39867,902,370,810,359,26,33
39998,902,370,810,359,26,33
40134,901,370,809,359,26,33
40265,902,370,809,359,26,33
40395,902,370,809,358,26,33
40527,902,370,810,359,26,33
40654,901,370,810,359,26,33
40785,902,370,810,359,26,33
40916,902,370,810,359,26,33
41047,902,370,809,359,26,33
41178,902,370,810,360,26,33
41313,902,371,809,360,26,33
41444,902,370,810,359,26,33
41575,902,370,809,358,26,33
41702,902,370,810,360,26,33
41833,902,371,809,360,26,33
41964,902,370,810,359,26,33
42095,902,370,810,358,26,33
42226,902,370,810,359,26,33
42357,902,370,810,359,26,33
42492,902,370,810,359,26,33
42624,902,370,809,359,26,33
42755,902,370,810,359,26,33
42882,902,370,810,358,26,33
43013,903,370,810,359,26,33
43144,902,370,809,359,26,33
43275,902,371,809,360,26,33
43406,901,370,810,360,26,33
43537,902,370,810,360,26,33
43672,902,370,810,359,26,33
43803,902,371,809,359,26,33
43930,902,370,810,359,26,33
44061,902,370,809,360,26,33
44192,902,370,810,359,26,33
44324,902,370,809,359,26,33
44455,902,371,809,359,26,33
44586,902,370,809,359,26,33
44717,902,370,809,359,26,33
44852,902,370,810,359,26,33
44979,902,371,810,359,26,33
45110,902,370,809,359,26,33
45241,903,370,809,358,26,33
45372,902,370,809,359,26,33
45503,902,370,810,358,26,33
45634,902,371,810,359,26,33
45765,902,370,809,359,26,33
45896,902,370,810,359,26,33
46031,902,371,810,359,26,33
46158,902,370,809,359,26,33
46289,902,370,810,358,26,33
46421,902,370,810,359,26,33
46552,902,370,810,359,26,33
46683,902,370,810,359,26,33
46814,902,370,809,358,26,33
46945,902,370,810,358,26,33
47076,901,370,810,358,26,33
47207,902,370,809,359,26,33
47338,902,370,810,358,26,33
47469,902,370,809,358,26,33
47600,902,370,809,358,26,33
47731,902,370,809,358,26,33
47862,902,369,809,358,26,33
47993,901,370,810,357,26,33
48124,901,370,809,358,26,33
48255,901,370,809,358,26,33
48387,902,370,809,358,27,33
48518,902,370,810,357,27,33
48649,902,370,809,358,27,33
48780,902,370,809,358,27,33
48911,902,370,810,358,27,33
49042,902,370,810,357,27,33
49173,902,370,810,357,27,33
49304,901,370,809,357,27,33
49435,901,370,809,357,27,33
49566,902,370,809,358,26,33
49697,901,370,809,357,26,33
49828,902,370,809,357,26,33
49959,902,370,809,357,26,33
50090,902,370,809,357,26,33
50221,901,370,810,357,26,33
50352,901,370,810,357,26,33
50484,902,370,809,357,26,33
50615,901,370,809,357,26,33
50746,901,370,809,358,26,33
50877,901,370,809,357,26,33
51008,902,370,809,357,26,33
51139,901,370,809,357,26,33
