time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
15,549,153,514,318,25,34
16,548,154,515,318,25,34
16,549,153,515,319,25,34
16,549,154,515,318,25,34
17,549,154,515,319,25,34
955,548,153,514,318,25,34
1086,549,152,515,319,25,34
1217,549,153,515,318,25,34
1348,548,153,515,318,25,34
1479,548,153,515,318,25,34
1610,548,153,515,318,25,34
1737,549,153,514,319,25,34
1868,548,153,515,319,25,34
1999,548,153,514,318,25,34
2134,548,153,515,318,25,35
2265,549,153,514,319,25,35
2397,548,153,515,319,25,35
2527,548,153,514,320,25,35
2659,548,153,514,319,25,35
2790,548,153,515,318,25,35
2917,548,153,514,319,25,35
3048,548,153,515,318,25,35
3179,548,152,515,319,25,35
3314,548,153,515,319,25,34
3445,548,153,515,319,25,34
3576,548,153,514,318,25,34
3707,548,153,514,318,25,34
3838,548,153,515,318,25,34
3965,547,153,514,318,25,34
4096,548,153,514,319,25,34
4227,548,153,514,319,25,34
4359,548,153,515,318,25,34
4494,547,153,514,318,25,34
4625,547,153,514,319,25,34
4756,547,153,514,319,25,34
4887,548,153,514,319,25,34
5014,548,153,513,319,25,34
5145,548,153,514,319,25,34
5276,547,153,514,318,25,34
5407,547,153,513,319,25,34
5538,547,153,514,319,25,34
5673,547,152,514,318,25,34
5804,547,153,514,319,25,34
5935,548,152,515,318,25,34
6066,548,152,513,319,25,34
6193,547,153,514,318,25,34
6325,547,152,513,319,25,34
6456,548,153,514,318,25,34
6587,547,153,513,318,25,34
6718,547,153,514,318,25,34
6853,547,152,514,318,25,34
6984,547,153,514,319,25,34
7115,546,153,514,319,25,34
7242,548,153,514,318,25,34
7373,548,152,514,320,25,34
7504,547,153,514,319,25,34
7635,547,153,514,319,25,34
7766,547,153,514,320,25,34
7897,547,153,514,319,25,34
8032,547,153,513,318,25,34
8163,548,153,513,319,25,34
8294,547,152,514,319,25,34
8422,547,152,514,319,25,34
8553,547,153,513,318,25,34
8684,547,153,514,318,25,34
8815,547,152,514,319,25,34
8946,547,153,514,318,25,34
9077,547,152,514,319,25,34
9212,547,152,514,319,25,34
9343,547,153,514,318,25,34
9470,547,153,513,319,25,34
9601,546,153,514,319,25,34
9732,547,153,514,319,25,34
9863,547,152,514,318,25,34
9994,547,153,514,319,25,34
10125,546,152,513,319,25,34
10257,547,152,514,319,25,34
10392,547,153,513,318,25,34
10519,547,152,514,319,25,34
10650,546,153,513,319,25,34
10781,547,152,513,320,25,34
10912,547,152,513,320,25,34
11043,546,153,513,319,25,34
11174,546,153,513,319,25,34
11305,547,153,513,319,25,34
11436,546,153,513,318,25,34
11571,547,152,513,319,25,34
11698,546,153,514,319,25,34
11830,546,152,513,319,25,34
11960,547,152,513,320,25,34
12092,547,153,513,320,25,34
12223,547,152,513,320,25,34
12354,547,153,512,319,25,34
12485,546,153,514,318,25,34
12616,547,153,514,319,25,34
12747,547,152,514,320,25,34
12878,546,152,514,320,25,34
13009,546,152,513,319,25,34
13140,547,152,514,319,25,34
13271,547,152,513,320,25,34
13402,547,153,514,320,25,34
13533,546,153,513,319,25,34
13664,547,152,513,320,25,34
13795,547,153,513,320,25,34
13926,546,153,513,320,25,34
14058,546,153,513,320,25,34
14188,546,152,513,319,25,34
14320,546,152,512,319,25,34
14451,547,152,513,320,25,34
14582,546,152,513,320,25,34
14713,546,152,513,320,25,34
14844,546,152,513,320,25,34
14975,546,152,512,320,25,34
15106,546,152,513,320,25,34
15237,546,152,513,319,25,34
15368,547,152,513,320,25,34
15499,546,152,512,320,25,34
15630,546,152,512,319,25,34
15761,546,153,513,320,25,34
15892,546,152,513,320,25,34
16023,546,152,512,320,25,34
16154,546,152,513,320,25,34
16286,546,151,513,319,25,34
16417,546,152,513,320,25,34
16548,546,153,513,319,25,34
16679,546,152,513,319,25,34
16810,546,152,513,319,25,34
16941,547,152,513,319,25,34
17072,546,152,513,319,25,34
17203,547,152,512,320,25,34
17330,546,152,514,320,25,34
17465,546,152,512,320,25,34
17596,546,152,512,320,25,34
17728,547,152,513,320,25,34
17859,546,152,512,320,25,34
17989,546,152,513,320,25,34
18120,546,152,512,320,25,34
18252,546,152,513,318,25,34
18383,546,152,512,319,25,34
18510,546,152,513,319,25,34
18645,545,152,513,320,25,34
18776,546,152,512,320,25,34
18907,546,152,513,320,25,34
19038,546,152,513,320,25,34
19169,546,152,513,320,25,34
19300,546,152,513,319,25,34
19431,546,152,512,319,25,34
19558,547,152,513,320,25,34
19689,546,152,513,320,25,34
19824,546,153,513,320,25,34
19955,546,152,512,319,25,34
20087,545,152,513,320,25,34
20218,545,152,512,319,25,34
20349,545,152,512,319,25,34
20480,545,152,513,320,25,34
20607,546,152,512,319,25,34
20738,546,152,512,320,25,34
20869,546,152,513,319,25,34
21004,546,152,513,320,25,34
21135,545,152,513,321,25,34
21266,546,152,513,320,25,34
21397,546,152,513,320,25,34
21528,545,152,513,320,25,34
21659,546,152,513,319,25,34
21787,546,152,512,319,25,34
21917,546,152,512,319,25,34
22048,545,152,512,319,25,34
22184,546,152,512,320,25,34
22315,545,152,512,319,25,34
22446,546,152,513,320,25,34
22577,545,151,513,319,25,34
22708,545,151,512,320,25,34
22835,546,152,512,319,25,34
22966,545,152,513,320,25,34
23097,546,152,512,319,25,34
23228,545,152,513,319,25,34
23363,545,151,513,320,25,34
23494,545,151,513,319,25,34
23625,545,152,513,320,25,34
23756,546,151,512,319,25,34
23883,546,152,512,319,25,34
24014,546,152,513,320,25,34
24146,545,151,511,320,25,34
24277,545,152,512,320,25,34
24408,546,152,512,319,25,34
24543,545,152,513,320,25,34
24674,545,152,512,319,25,34
24805,546,151,512,320,25,34
24936,545,152,512,319,25,34
25063,546,152,512,320,25,34
25194,545,151,512,319,25,34
25325,545,152,511,320,25,34
25456,545,152,512,319,25,34
25587,545,152,512,320,25,34
25722,545,152,511,320,25,34
25853,545,151,512,320,25,34
25984,545,151,512,319,25,34
26112,545,152,512,320,25,34
26243,544,152,512,320,25,34
26374,545,152,512,319,25,34
26505,545,152,511,321,25,34
26636,546,152,512,320,25,34
26767,545,152,512,320,25,34
26902,544,152,511,321,25,34
27033,545,152,512,320,25,34
27164,545,152,512,319,25,34
27291,545,151,511,321,25,34
27422,545,151,512,319,25,34
27553,545,151,513,320,25,34
27684,545,151,512,320,25,34
27815,545,151,512,320,25,34
27946,546,152,512,321,25,34
28082,545,152,512,320,25,35
28213,545,152,512,319,25,35
28340,546,151,512,320,25,35
28471,545,152,512,321,25,35
28603,545,152,511,321,25,35
28733,545,152,512,319,25,35
28864,545,152,512,320,25,35
28995,544,152,511,321,25,35
29126,544,152,512,320,25,35
29261,545,152,512,321,25,34
29392,545,152,512,319,25,34
29519,545,152,512,320,25,34
29650,545,152,511,321,25,34
29782,544,152,511,320,25,34
29912,544,151,512,321,25,34
30044,544,151,511,320,25,34
30175,545,151,512,320,25,34
30306,545,152,512,320,25,34
30441,545,152,512,319,25,35
30568,544,151,512,320,25,35
30699,545,151,512,319,25,35
30830,544,152,511,321,25,35
30961,544,151,511,320,25,35
31092,545,151,512,320,25,35
31223,544,151,511,320,25,35
31354,545,152,512,320,25,35
31485,545,151,511,320,25,35
31620,544,152,511,321,25,34
31747,544,151,511,322,25,34
31879,544,152,511,321,25,34
32009,545,151,511,321,25,34
32140,545,151,512,320,25,34
32272,544,151,512,320,25,34
32403,545,151,511,320,25,34
32534,544,152,511,320,25,34
32665,545,151,511,321,25,34
32796,544,151,510,320,25,34
32927,544,151,511,321,25,34
33058,544,151,511,320,25,34
33189,545,151,510,321,25,34
33320,545,151,511,321,25,34
33451,544,151,512,320,25,34
33582,544,152,511,321,25,34
33713,544,151,512,320,25,34
33845,545,152,511,320,25,34
33976,544,151,511,321,25,34
34107,544,151,511,321,25,34
34238,544,151,511,321,25,34
34369,544,151,511,321,25,34
34500,544,151,511,320,25,34
34631,544,151,510,321,25,34
34762,544,151,510,321,25,34
34893,544,151,511,321,25,34
35024,544,151,511,321,25,34
35155,544,151,510,321,25,34
35286,544,151,511,321,25,34
35418,544,151,511,320,25,34
35549,543,151,511,322,25,34
35679,544,151,511,321,25,34
35810,544,150,511,320,25,34
35942,544,151,511,320,25,34
36073,544,151,510,321,25,34
36204,543,151,511,320,25,34
36335,544,151,511,321,25,34
36466,544,151,510,321,25,34
36597,543,151,511,321,25,34
36728,544,151,511,321,25,34
36859,544,151,510,321,25,34
36990,544,151,511,322,25,34
37121,543,151,511,320,25,34
37252,544,151,511,322,25,34
37379,544,150,511,321,25,34
37514,544,151,510,320,25,34
37646,543,151,511,321,25,34
37776,543,151,511,321,25,34
37908,543,151,510,321,25,34
38039,543,150,511,321,25,34
38170,544,151,511,321,25,34
38301,543,151,510,321,25,34
38428,543,151,511,321,25,34
38559,544,151,511,320,25,34
38694,543,150,510,321,25,34
38825,543,150,511,320,25,34
38956,544,151,511,321,25,34
39087,543,151,511,321,25,34
39218,544,151,511,322,25,34
39349,543,150,511,322,25,34
39480,544,150,510,322,25,34
39607,542,151,511,321,25,34
39738,544,151,510,321,25,34
39874,544,151,510,321,25,34
40005,543,151,510,322,25,34
40136,542,151,510,320,25,34
40267,542,150,511,321,25,34
40398,543,151,510,322,25,34
40529,543,151,510,321,25,34
40656,543,151,510,322,25,34
40787,543,151,510,321,25,34
40918,543,150,511,320,25,34
41053,543,151,510,321,25,34
41184,543,150,511,321,25,34
41315,543,150,510,321,25,34
41446,543,151,511,322,25,34
41577,543,151,510,322,25,34
41708,543,151,510,321,25,34
41835,543,151,510,322,25,34
41967,543,151,509,321,25,34
42098,543,151,511,321,25,34
42233,543,151,510,320,25,34
42364,542,150,511,321,25,34
42495,543,151,510,322,25,34
42626,543,151,510,321,25,34
42757,544,151,510,322,25,34
42884,543,150,511,321,25,34
43015,543,151,510,320,25,34
