time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
1346,744,627,551,258,24,35
1477,744,627,552,258,24,35
1608,744,627,551,258,24,35
1739,744,627,551,259,24,35
1870,744,627,552,258,24,35
2001,744,627,551,258,24,35
2132,744,627,552,258,24,35
2259,744,627,552,258,24,35
2394,744,627,552,258,24,34
2525,744,627,551,259,24,34
2656,744,626,551,258,24,34
2787,744,627,551,259,24,34
2918,744,626,551,258,24,34
3049,744,627,551,259,24,34
3181,744,627,551,258,24,34
3312,744,626,552,259,24,34
3439,744,626,551,259,24,34
3574,744,627,551,258,24,34
3705,744,626,552,259,24,34
3836,744,627,551,259,24,34
3967,744,627,551,259,24,34
4098,744,627,551,258,24,34
4229,744,627,551,258,24,34
4360,744,626,551,258,24,34
4487,744,627,552,258,24,34
4618,744,627,551,259,24,34
4753,744,627,551,258,24,34
4884,744,627,552,259,24,34
5015,744,627,551,259,24,34
5147,744,627,552,258,24,34
5278,743,627,551,258,24,34
5409,744,627,551,259,24,34
5540,744,627,551,258,24,34
5667,744,627,551,258,24,34
5798,744,627,551,258,24,34
5933,744,627,551,259,24,34
6064,744,627,551,259,24,34
6195,744,626,551,259,24,34
6326,744,627,552,259,24,34
6457,744,627,552,259,24,34
6588,743,627,552,258,24,34
6715,744,626,552,258,24,34
6846,744,626,550,258,24,34
6977,744,627,552,258,24,34
7113,744,626,551,259,24,34
7244,743,627,550,258,24,34
7375,744,627,551,259,24,34
7506,744,627,552,259,24,34
7637,744,627,552,258,24,34
7768,744,626,552,259,24,34
7895,744,627,552,258,24,34
8026,744,627,552,258,24,34
8157,744,627,551,258,24,34
8292,744,627,552,258,24,35
8423,744,626,551,258,24,35
8554,744,626,551,258,24,35
8685,744,626,551,259,24,35
8816,744,627,551,258,24,35
8943,744,627,552,258,24,35
9074,744,627,551,259,24,35
9205,744,627,552,258,24,35
9337,744,627,551,258,24,35
9472,744,627,551,258,24,34
9603,744,627,552,259,24,34
9734,744,627,552,258,24,34
9865,744,627,551,259,24,34
9992,744,627,551,259,24,34
10123,744,627,551,259,24,34
10254,744,626,552,259,24,34
10385,744,627,552,258,24,34
10516,744,627,551,259,24,34
10651,744,626,551,258,24,34
10782,744,627,551,258,24,34
10913,744,626,552,259,24,34
11044,744,627,552,259,24,34
11172,744,627,551,259,24,34
11303,744,626,551,258,24,34
11434,744,627,551,259,24,34
11565,744,627,551,258,24,34
11696,744,627,551,258,24,34
11831,744,627,550,258,24,34
11962,744,627,551,259,24,34
12093,743,627,551,258,24,34
12220,743,627,551,258,24,34
12351,743,626,552,258,24,34
12482,744,627,551,258,24,34
12613,744,627,551,259,24,34
12744,744,627,551,259,24,34
12875,744,627,551,258,24,34
13010,744,627,551,258,24,34
13142,744,627,550,258,24,34
13273,744,627,551,258,24,34
13400,744,627,551,258,24,34
13531,744,627,552,258,24,34
13662,744,627,551,258,24,34
13793,744,627,551,258,24,34
13924,744,627,551,258,24,34
14055,744,627,551,258,24,34
14190,744,627,552,258,24,34
14321,743,626,552,258,24,34
14452,744,627,551,258,24,34
14579,744,627,551,258,24,34
14710,744,627,551,258,24,34
14841,744,626,551,258,24,34
14972,744,627,551,258,24,34
15103,744,627,550,258,24,34
15234,744,628,551,258,24,34
15370,744,627,551,258,24,34
15501,744,627,550,258,24,34
15628,743,627,551,258,24,34
15759,744,627,552,258,24,34
15890,744,626,551,258,24,34
16021,743,627,551,258,24,34
16152,744,627,551,258,24,34
16283,743,627,551,258,24,34
16414,744,627,551,258,24,34
16549,744,627,552,258,24,34
16680,744,627,551,257,24,34
16807,744,627,552,258,24,34
16938,744,627,551,258,24,34
17070,744,627,551,258,24,34
17200,744,627,551,258,24,34
17332,744,627,551,258,24,34
17463,743,626,551,258,24,34
17594,744,627,551,258,24,34
17729,743,627,551,258,24,35
17856,744,627,551,258,24,35
17987,743,627,551,258,24,35
18118,743,628,551,257,24,35
18249,743,627,551,258,24,35
18380,744,627,551,257,24,35
18511,744,627,551,258,24,35
18642,744,627,551,258,24,35
18773,744,627,551,258,24,35
18904,743,627,550,258,24,35
19036,744,627,551,258,24,35
19167,744,626,551,257,24,35
19298,743,627,551,258,24,35
19429,744,628,552,258,24,35
19560,744,626,551,258,24,35
19691,744,627,551,258,24,35
19822,743,627,551,258,24,35
19953,744,627,551,258,24,35
20084,744,626,550,258,24,34
20215,743,627,551,258,24,34
20346,744,627,551,257,24,34
20477,744,628,551,259,24,34
20608,744,627,551,258,24,34
20739,743,627,551,257,24,34
20870,743,627,551,258,24,34
21001,743,626,551,258,24,34
21132,743,627,552,257,24,34
21264,744,627,551,258,24,34
21395,744,627,551,258,24,34
21526,744,627,551,258,24,34
21657,743,627,551,257,24,34
21788,744,627,551,257,24,34
21919,744,627,551,258,24,34
22050,744,627,551,257,24,34
22181,743,627,551,258,24,34
22308,743,626,551,258,24,34
22443,744,627,551,258,24,34
22574,744,627,550,258,24,34
22705,743,626,551,258,24,34
22836,744,627,551,258,24,34
22967,744,627,550,258,24,34
23098,744,627,551,258,24,34
23229,744,627,551,257,24,34
23361,744,627,551,258,24,34
23488,743,627,551,258,24,34
23623,744,627,551,258,24,34
23754,743,627,551,258,24,34
23885,743,627,551,258,24,34
24016,743,627,551,258,24,34
24147,744,627,551,257,24,34
24278,743,627,551,257,24,34
24409,744,627,551,258,24,34
24536,744,627,551,258,24,34
24667,744,627,551,258,24,34
24802,744,627,550,258,24,34
24933,743,627,551,258,24,34
25065,744,627,551,257,24,34
25196,743,627,551,257,24,34
25327,743,627,551,258,24,34
25458,744,627,550,257,24,34
25585,744,627,551,257,24,34
25716,744,627,551,257,24,34
25847,744,627,550,258,24,34
25982,744,627,551,257,24,34
26113,743,627,550,258,24,34
26244,744,627,551,257,24,34
26375,744,627,551,257,24,34
26506,744,627,551,258,24,34
26637,743,627,551,258,24,34
26764,743,626,552,258,24,34
26895,743,627,551,258,24,34
27026,744,627,551,258,24,34
27162,743,627,551,257,24,35
27293,743,627,551,257,24,35
27424,743,627,551,257,24,35
27555,743,626,551,258,24,35
27686,744,626,551,258,24,35
27813,743,627,551,257,24,35
27944,744,627,551,257,24,35
28075,744,626,551,258,24,35
28206,744,627,551,258,24,35
28341,744,627,550,258,24,35
28472,743,627,552,258,24,35
28603,743,627,551,258,24,35
28734,744,627,550,258,24,35
28861,743,627,551,258,24,35
28992,744,628,550,258,24,35
29123,743,627,551,258,24,35
29255,742,627,551,257,24,35
29386,743,626,551,258,24,35
29521,743,627,551,258,24,35
29652,743,626,551,257,24,35
29783,743,627,551,257,24,35
29914,743,627,551,258,24,35
30041,743,627,551,257,24,35
30172,743,627,551,258,24,35
30303,743,627,551,258,24,35
30434,743,627,551,257,24,35
30565,743,627,550,258,24,35
30700,744,627,551,257,24,34
30831,743,626,551,258,24,34
30958,743,627,551,257,24,34
31089,743,627,550,258,24,34
31221,744,627,551,258,24,34
31351,743,627,551,257,24,34
31483,744,627,551,258,24,34
31614,743,627,551,258,24,34
31745,743,626,551,258,24,34
31880,742,627,550,258,24,34
32011,743,627,551,258,24,34
32138,743,627,551,258,24,34
32269,743,627,551,258,24,34
32400,743,627,551,258,24,34
32531,743,627,550,257,24,34
32662,744,627,551,258,24,34
32793,743,628,551,258,24,34
32924,743,627,550,257,24,34
33060,743,627,551,258,24,34
33186,743,626,551,257,24,34
33318,743,627,550,258,24,34
33449,744,627,551,257,24,34
33580,743,627,551,256,24,34
33711,743,627,551,257,24,34
33842,743,627,551,257,24,34
33973,743,627,550,257,24,34
34104,743,627,551,257,24,34
34239,743,627,551,258,24,34
34366,743,627,550,258,24,34
34497,744,627,550,257,24,34
34628,743,626,551,258,24,34
34759,743,627,551,257,24,34
34890,743,627,551,257,24,34
35021,743,627,551,257,24,34
35152,743,626,551,257,24,34
35284,744,627,551,258,24,34
35419,743,626,551,257,24,34
35546,743,627,550,257,24,34
35677,743,627,551,257,24,34
35808,743,627,551,257,24,34
35939,744,627,551,258,24,34
36070,744,627,551,257,24,34
36201,744,627,550,257,24,34
36332,743,627,550,258,24,34
36463,743,627,551,257,24,34
36594,744,627,550,258,24,34
36725,743,627,551,257,24,34
36856,743,627,550,256,24,34
36987,743,627,551,258,24,34
37118,744,626,551,257,24,34
37250,743,627,551,258,24,34
37381,743,627,551,258,24,34
37512,743,627,551,258,24,34
37643,743,626,550,257,24,34
37774,744,628,551,257,24,34
37905,744,627,550,258,24,34
38036,743,627,551,258,24,34
38167,744,627,551,257,24,34
38298,743,627,551,258,24,34
38429,743,627,551,258,24,34
38560,743,628,550,258,24,34
38691,744,627,550,257,24,34
38822,742,627,551,257,24,34
38954,743,627,550,257,24,34
39085,744,628,551,258,24,34
39216,744,627,551,258,24,34
39347,743,628,551,257,24,34
39478,744,628,551,258,24,34
39609,743,627,551,257,24,34
39740,744,627,550,257,24,34
39871,743,627,551,258,24,34
40002,743,627,551,257,24,34
40133,743,627,550,258,24,34
40264,743,627,551,258,24,34
40395,744,626,551,257,24,34
40526,744,627,551,258,24,34
40657,744,627,550,257,24,34
40788,744,627,551,258,24,34
40919,743,627,551,257,24,34
41050,743,627,550,257,24,34
41178,744,628,551,258,24,34
41313,743,627,551,258,24,34
41444,743,627,550,258,24,34
41575,743,628,551,257,24,34
41706,743,627,551,257,24,34
41837,744,627,550,258,24,34
41968,743,627,551,258,24,34
42099,744,627,551,258,24,34
42230,744,628,550,258,24,34
42357,743,628,550,258,24,34
42492,743,628,551,257,24,34
42623,743,627,551,258,24,34
42754,744,627,551,258,24,34
42885,744,627,551,257,24,34
43016,744,627,551,257,24,34
43147,744,627,551,257,24,34
43279,744,628,551,258,24,34
43406,743,628,551,258,24,34
43537,744,628,550,258,24,34
43672,743,628,551,258,24,34
43803,744,627,551,257,24,34
43934,744,628,551,258,24,34
44065,744,627,551,258,24,34
44196,743,628,550,258,24,34
44327,744,627,551,258,24,34
44454,744,627,551,258,24,34
44585,744,627,551,258,24,34
44716,743,627,551,258,24,34
44851,743,627,551,257,24,34
44982,743,627,551,258,24,34
45113,744,628,551,258,24,34
45245,744,627,551,258,24,34
45376,743,627,550,258,24,34
45503,743,628,551,258,24,34
45634,743,627,550,258,24,34
45765,744,628,550,258,24,34
45896,744,628,551,258,24,34
46031,743,627,551,258,24,34
46162,743,627,550,258,24,34
46293,743,627,551,258,24,34
46424,743,628,551,258,24,34
46555,744,628,551,258,24,34
46682,743,628,551,258,24,34
46813,743,628,551,258,24,34
46944,744,627,551,258,24,34
47075,743,627,551,257,24,34
47210,743,628,550,258,24,34
47342,743,628,551,257,24,34
47473,743,628,550,258,24,34
47604,744,627,551,257,24,34
47731,744,628,551,258,24,34
47862,743,628,551,258,24,34
47993,744,627,551,258,24,34
48124,744,628,551,257,24,34
48255,743,628,550,258,24,34
48390,744,627,551,258,24,35
48521,744,628,551,257,24,35
48652,744,628,551,257,24,35
48783,743,628,550,258,24,35
48910,743,627,551,258,24,35
49041,743,628,551,257,24,35
49172,743,628,551,257,24,35
49303,743,627,551,257,24,35
49435,743,628,551,257,24,35
49570,743,628,551,258,24,35
49701,744,628,550,258,24,35
49832,743,628,551,257,24,35
49959,743,627,550,257,24,35
50090,743,628,550,258,24,35
50221,744,628,551,258,24,35
50352,743,628,550,257,24,35
50483,743,627,551,257,24,35
50614,743,627,551,258,24,35
50749,743,627,551,258,24,35
50881,744,628,550,258,24,35
51007,744,628,551,258,24,35
51138,743,628,551,256,24,35
51270,743,628,550,257,24,35
51401,744,628,551,257,24,35
51532,744,628,551,258,24,35
51663,743,628,550,257,24,35
51794,743,628,551,258,24,35
51929,743,626,551,256,24,35
52056,743,628,550,257,24,35
52187,743,627,550,257,24,35
52318,744,628,551,258,24,35
52449,744,627,550,258,24,35
52580,743,628,550,257,24,35
52711,743,628,551,257,24,35
52842,743,628,551,256,24,35
52973,744,628,551,258,24,35
53108,743,628,551,258,24,35
53236,743,628,551,257,24,35
53367,744,628,551,258,24,35
53498,743,628,550,258,24,35
53629,744,627,551,258,24,35
53760,744,628,551,257,24,35
53891,743,627,550,258,24,35
54022,743,628,551,257,24,35
54153,743,628,550,257,24,35
54284,743,627,551,257,24,35
54415,743,627,551,257,24,35
54546,743,627,551,257,24,35
54677,743,628,551,258,24,35
54808,743,627,551,257,24,35
54939,743,628,551,257,24,35
55071,743,628,551,258,24,35
55202,743,627,550,257,24,35
55333,743,627,551,257,24,35
55464,743,627,550,257,24,35
55595,743,628,550,257,24,35
55726,743,627,550,258,24,35
55857,743,628,551,258,24,35
55988,744,628,551,256,24,35
56119,743,627,550,257,24,35
56250,742,628,551,257,24,35
56381,743,627,550,257,24,35
56512,743,628,551,257,24,35
56643,742,627,550,258,24,35
56775,743,628,550,257,24,35
56905,743,628,551,257,24,35
57037,743,627,550,258,24,35
57167,742,627,551,258,24,35
57298,743,628,550,258,24,35
57429,743,627,551,257,24,35
57561,743,627,551,258,24,35
57688,743,627,551,257,24,35
57823,743,627,550,257,24,35
57954,742,627,551,258,24,35
58085,743,627,551,258,24,35
58216,743,627,551,258,24,35
58347,743,628,550,258,24,35
58478,743,627,550,258,24,35
58609,743,628,550,258,24,35
58736,743,627,550,258,24,35
58867,743,627,551,258,24,35
59002,743,627,550,257,24,35
59133,743,627,551,257,24,35
59265,742,627,551,258,24,35
59396,743,628,550,257,24,35
59527,743,627,550,258,24,35
59658,743,627,551,257,24,35
59785,742,628,550,257,24,35
59916,743,627,550,257,24,35
60047,743,628,550,257,24,35
60182,743,627,550,258,24,35
60313,743,626,550,257,24,35
60444,743,627,550,257,24,35
60575,743,627,550,257,24,35
60706,742,627,551,257,24,35
60837,743,627,550,257,24,35
60964,743,627,551,258,24,35
61096,743,628,550,257,24,35
61226,743,627,551,258,24,35
61362,743,628,550,258,24,35
61493,744,628,550,256,24,35
61624,743,628,550,257,24,35
61755,742,628,551,257,24,35
61886,742,628,551,258,24,35
62013,743,627,551,258,24,35
62144,743,628,551,257,24,35
62275,743,627,551,258,24,35
62406,743,627,549,257,24,35
62541,743,627,551,257,24,35
62672,743,627,550,257,24,35
