time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
1871,921,427,842,451,25,34
2002,921,427,842,451,25,34
2133,921,427,842,451,25,34
2264,920,428,842,451,25,34
2395,920,427,843,451,25,34
2526,920,428,842,450,25,34
2657,920,427,843,452,25,34
2788,920,428,842,451,25,34
2920,921,428,842,451,25,34
3051,921,428,842,451,25,34
3178,920,428,842,451,25,34
3313,921,428,842,452,25,34
3444,921,428,842,451,25,34
3575,921,428,842,450,25,34
3706,920,428,841,450,25,34
3837,921,427,842,452,25,34
3968,920,428,842,451,25,34
4099,921,428,842,451,25,34
4230,920,428,842,451,25,34
4357,920,427,842,450,25,34
4492,920,427,841,451,25,34
4623,920,427,841,451,25,34
4754,920,427,840,451,25,34
4885,920,428,841,451,25,34
5017,920,428,841,451,25,34
5148,920,427,841,450,25,34
5279,920,427,842,450,25,34
5406,921,427,842,452,25,34
5537,921,427,841,451,25,34
5672,920,428,842,451,25,34
5803,921,428,842,451,25,34
5934,920,428,841,451,25,34
6065,921,428,841,451,25,34
6196,921,428,841,451,25,34
6327,920,427,842,451,25,34
6458,920,428,842,450,25,34
6585,921,428,841,451,25,34
6716,920,427,842,451,25,34
6851,921,427,841,451,25,34
6983,920,427,842,451,25,34
7114,920,428,842,450,25,34
7245,920,428,842,451,25,34
7376,921,427,841,450,25,34
7507,920,427,842,450,25,34
7634,921,427,842,450,25,34
7765,920,428,841,450,25,34
7896,920,428,841,450,25,34
8031,921,428,840,451,25,34
8162,921,427,841,451,25,34
8293,920,427,841,450,25,34
8424,920,427,841,450,25,34
8555,920,427,841,450,25,34
8686,920,427,840,450,25,34
8814,921,428,841,449,25,34
8945,920,428,841,450,25,34
9076,921,428,841,449,25,34
9211,920,427,841,450,25,34
9342,920,428,841,449,25,34
9473,920,427,841,450,25,34
9604,920,427,840,450,25,34
9735,921,427,841,449,25,34
9862,920,428,842,451,25,34
9993,920,428,841,450,25,34
10124,920,427,841,450,25,34
10255,921,428,842,450,25,34
10391,921,427,841,449,25,33
10521,921,427,842,450,25,33
10652,921,427,842,449,25,33
10783,920,427,842,450,25,33
10911,921,427,841,450,25,33
11042,920,428,842,450,25,33
11173,920,427,841,448,25,33
11304,920,427,841,449,25,33
11435,920,428,841,450,25,33
11570,921,428,840,449,25,33
11701,920,427,841,449,25,33
11832,920,427,841,449,25,33
11963,921,427,841,449,25,33
12090,921,428,841,448,25,33
12221,920,428,840,450,25,33
12352,920,427,841,449,25,33
12483,921,428,841,449,25,33
12615,921,428,841,450,25,33
12749,921,427,841,450,25,33
12881,920,428,840,450,25,33
13012,920,428,840,450,25,33
13139,921,428,840,450,25,33
13270,920,428,840,449,25,33
13401,920,428,841,450,25,33
13532,920,428,841,451,25,33
13663,920,428,840,450,25,33
13794,920,428,841,451,25,33
13929,920,428,841,451,25,33
14060,920,428,841,450,25,33
14187,920,427,840,451,25,33
14318,920,428,842,451,25,33
14449,921,428,841,451,25,33
14580,921,427,841,452,25,33
14711,921,428,841,451,25,33
14842,921,428,842,452,25,33
14973,921,428,842,452,25,33
15109,921,428,842,450,25,33
15240,920,428,841,452,25,33
15367,920,428,841,452,25,33
15498,921,428,841,452,25,33
15629,920,428,841,452,25,33
15760,920,428,841,453,25,33
15891,920,428,841,453,25,33
16022,920,428,842,453,25,33
16154,921,427,841,453,25,33
16288,920,427,841,452,25,33
16416,920,428,841,453,25,33
16546,920,429,841,453,25,33
16677,920,428,840,452,25,33
16808,921,428,841,453,25,33
16940,921,428,841,452,25,33
17071,921,428,841,453,25,33
17202,920,428,840,452,25,33
17333,921,428,841,453,25,33
17468,920,428,840,454,25,33
17595,921,428,841,453,25,33
17726,921,428,841,453,25,33
17857,921,428,841,453,25,33
17988,921,428,840,454,25,33
18119,921,428,841,452,25,33
18250,921,429,841,453,25,33
18382,920,429,841,453,25,33
18512,921,428,842,453,25,33
18643,921,428,841,453,25,33
18775,921,428,842,453,25,33
18906,920,428,841,454,25,33
19037,920,428,842,453,25,33
19168,921,428,842,454,25,33
19299,920,428,841,454,25,33
19430,921,428,842,453,25,33
19561,920,429,842,454,25,33
19692,921,428,841,454,25,33
19823,920,429,842,453,25,33
19954,921,429,842,454,25,33
20085,920,429,842,453,25,33
20216,921,428,842,454,25,33
20347,921,427,842,454,25,33
20479,920,429,842,454,25,33
20610,921,428,841,453,25,33
20740,920,428,842,453,25,33
20871,921,428,841,453,25,33
21003,920,428,840,453,25,33
21134,921,428,841,454,25,33
21265,921,429,840,454,25,33
21396,921,429,841,453,25,33
21527,920,428,841,454,25,33
21658,920,428,841,453,25,33
21789,921,429,840,454,25,33
21920,921,429,840,454,25,33
22051,921,429,840,454,25,33
22182,920,428,841,453,25,33
22313,920,429,842,453,25,33
22444,920,429,840,454,25,33
22575,920,428,841,453,25,33
22706,921,429,841,453,25,33
22838,921,429,841,453,25,33
22969,920,429,842,452,25,33
23100,920,428,842,452,25,33
23227,921,428,842,453,25,33
23362,920,428,842,453,25,33
23493,921,429,841,453,25,33
23624,920,429,841,453,25,33
23755,921,429,842,452,25,33
23886,922,428,842,452,25,33
24017,920,429,842,453,25,33
24148,920,429,841,453,25,33
24275,921,429,842,452,25,33
24406,920,428,841,452,25,33
24541,921,429,841,452,25,33
24672,921,429,841,452,25,33
24804,921,428,841,452,25,33
24935,921,429,840,451,25,33
25066,921,428,841,450,25,33
25197,921,428,841,451,25,33
25328,921,429,841,451,25,33
25455,920,428,840,452,25,33
25586,920,429,840,451,25,33
25721,921,428,840,450,25,33
25852,921,429,840,449,25,33
25983,921,429,840,450,25,33
26114,920,429,841,450,25,33
26245,921,428,840,450,25,33
26376,920,429,840,450,25,33
26503,920,429,840,450,25,33
26634,920,429,841,449,25,33
26765,921,429,840,450,25,33
26901,921,429,840,450,25,33
27032,920,429,841,450,25,33
27163,921,428,841,450,25,33
27294,921,429,842,450,25,33
27425,920,428,841,448,25,33
27552,920,428,841,449,25,33
27683,921,428,841,447,25,33
27814,920,428,841,448,25,33
27945,921,429,841,449,25,33
28080,921,429,842,448,25,33
28211,920,429,841,447,25,33
28342,920,429,841,448,25,33
28473,921,428,840,448,25,33
28604,921,429,840,448,25,33
28731,921,429,841,448,25,33
28863,920,428,841,447,25,33
28994,921,428,840,446,25,33
29125,920,428,841,448,25,33
29260,920,428,841,447,25,33
29391,921,429,840,447,25,33
29522,920,429,840,447,25,33
29653,920,428,840,446,25,33
29780,921,429,840,448,25,33
29911,921,429,840,446,25,33
30042,921,429,840,447,25,33
30173,921,428,840,446,25,33
30304,921,428,840,446,25,33
30439,921,429,841,445,25,33
30571,920,429,840,445,25,33
30701,921,428,840,446,25,33
30833,921,429,840,446,25,33
30960,921,428,841,445,25,33
31091,920,429,841,445,25,33
31222,920,428,840,444,25,33
31353,920,428,840,445,25,33
31484,920,429,840,445,25,33
31619,920,429,840,444,25,33
31750,921,428,841,444,25,33
31881,920,428,841,445,25,33
32008,921,428,841,443,25,33
32139,920,428,840,444,25,33
32270,920,428,841,444,25,33
32401,920,428,840,444,25,33
32532,920,428,840,443,25,33
32663,921,428,841,443,25,33
32799,920,428,841,443,25,33
32930,920,428,841,443,25,33
33057,921,428,840,443,25,33
33188,921,428,840,442,25,33
33319,920,428,840,442,25,33
33450,920,428,840,443,25,33
33581,920,428,840,442,25,33
33712,920,428,840,442,25,33
33843,920,427,840,442,25,33
33978,921,428,840,443,25,33
34109,921,428,839,441,25,33
34236,921,428,840,441,25,33
